Time,NetEnergy,DiffEnergy
0.121,98.576,1.2945e-06
0.121018,98.6423,0.0662636
0.121018,98.6423,8.63e-07
0.121071,98.8411,0.198795
0.121071,98.8411,8.63e-07
0.121125,99.0399,0.198795
0.121232,99.0861,0.0462322
0.12125,99.0985,0.012401
0.12125,99.0985,1.2945e-06
0.121268,99.1648,0.0662636
0.121268,99.1648,8.63e-07
0.121321,99.3636,0.198795
0.121321,99.3636,8.63e-07
0.121375,99.5624,0.198795
0.121375,99.5624,8.63e-07
0.121411,99.6949,0.132527
0.121411,99.6949,8.63e-07
0.121446,99.8274,0.132527
0.121482,99.8428,0.015411
0.1215,99.8552,0.012401
0.1215,99.8552,1.2945e-06
0.121518,99.9215,0.0662636
0.121518,99.9215,8.63e-07
0.121589,100.187,0.265062
0.121589,100.187,8.63e-07
0.121661,100.452,0.265062
0.121732,100.482,0.0308216
0.12175,100.495,0.012401
0.12175,100.495,1.2945e-06
0.121768,100.561,0.0662636
0.121768,100.561,8.63e-07
0.121821,100.76,0.198795
0.121821,100.76,8.63e-07
0.121875,100.959,0.198795
0.121875,100.959,8.63e-07
0.121911,101.091,0.132527
0.121911,101.091,8.63e-07
0.121946,101.224,0.132527
0.121982,101.239,0.015411
0.122,101.252,0.012401
0.122,101.252,1.2945e-06
0.122018,101.318,0.0662636
0.122018,101.318,8.63e-07
0.122071,101.517,0.198795
0.122071,101.517,8.63e-07
0.122125,101.715,0.198795
0.122125,101.715,8.63e-07
0.122179,101.914,0.198795
0.122179,101.914,8.63e-07
0.122232,102.113,0.198795
0.122232,102.113,4.315e-07
0.12225,102.125,0.012401
0.12225,102.125,1.2945e-06
0.122268,102.192,0.0662636
0.122268,102.192,8.63e-07
0.122321,102.39,0.198795
0.122321,102.39,8.63e-07
0.122375,102.589,0.198795
0.122375,102.589,8.63e-07
0.122411,102.722,0.132527
0.122411,102.722,8.63e-07
0.122446,102.854,0.132527
0.122482,102.87,0.015411
0.1225,102.882,0.012401
0.1225,102.882,1.2945e-06
0.122518,102.948,0.0662636
0.122518,102.948,8.63e-07
0.122571,103.147,0.198795
0.122571,103.147,8.63e-07
0.122625,103.346,0.198795
0.122732,103.392,0.0462322
0.12275,103.405,0.012401
0.12275,103.405,1.2945e-06
0.122768,103.471,0.0662636
0.122768,103.471,8.63e-07
0.122821,103.67,0.198795
0.122821,103.67,8.63e-07
0.122875,103.868,0.198795
0.122875,103.868,8.63e-07
0.122911,104.001,0.132527
0.122911,104.001,8.63e-07
0.122946,104.134,0.132527
0.122982,104.149,0.015411
0.123,104.161,0.012401
0.123,104.161,1.2945e-06
0.123018,104.228,0.0662636
0.123018,104.228,8.63e-07
0.123071,104.426,0.198795
0.123071,104.426,8.63e-07
0.123125,104.625,0.198795
0.123232,104.671,0.0462322
0.12325,104.684,0.012401
0.12325,104.684,1.2945e-06
0.123268,104.75,0.0662636
0.123268,104.75,8.63e-07
0.123321,104.949,0.198795
0.123321,104.949,8.63e-07
0.123375,105.148,0.198795
0.123375,105.148,8.63e-07
0.123411,105.28,0.132527
0.123411,105.28,8.63e-07
0.123446,105.413,0.132527
0.123482,105.428,0.015411
0.1235,105.441,0.012401
0.1235,105.441,1.2945e-06
0.123518,105.507,0.0662636
0.123518,105.507,8.63e-07
0.123554,105.639,0.132527
0.123732,105.716,0.0770534
0.12375,105.729,0.012401
0.12375,105.729,1.2945e-06
0.123768,105.795,0.0662636
0.123768,105.795,8.63e-07
0.123821,105.994,0.198795
0.123821,105.994,8.63e-07
0.123875,106.193,0.198795
0.123875,106.193,8.63e-07
0.123911,106.325,0.132527
0.123911,106.325,8.63e-07
0.123946,106.458,0.132527
0.123982,106.473,0.015411
0.124,106.486,0.012401
0.124,106.486,1.2945e-06
0.124018,106.552,0.0662636
0.124018,106.552,8.63e-07
0.124071,106.751,0.198795
0.124071,106.751,8.63e-07
0.124125,106.949,0.198795
0.124232,106.996,0.0462322
0.12425,107.008,0.012401
0.12425,107.008,1.2945e-06
0.124268,107.074,0.0662636
0.124268,107.074,8.63e-07
0.124321,107.273,0.198795
0.124321,107.273,8.63e-07
0.124375,107.472,0.198795
0.124375,107.472,8.63e-07
0.124411,107.604,0.132527
0.124411,107.604,8.63e-07
0.124446,107.737,0.132527
0.124482,107.752,0.015411
0.1245,107.765,0.012401
0.1245,107.765,1.2945e-06
0.124518,107.831,0.0662636
0.124518,107.831,8.63e-07
0.124571,108.03,0.198795
0.124571,108.03,8.63e-07
0.124625,108.229,0.198795
0.124732,108.275,0.0462322
0.12475,108.287,0.012401
0.12475,108.287,1.2945e-06
0.124768,108.354,0.0662636
0.124768,108.354,8.63e-07
0.124821,108.552,0.198795
0.124821,108.552,8.63e-07
0.124875,108.751,0.198795
0.124875,108.751,8.63e-07
0.124911,108.884,0.132527
0.124911,108.884,8.63e-07
0.124946,109.016,0.132527
0.124982,109.032,0.015411
0.125,109.044,0.012401
0.125,109.044,1.2945e-06
0.125018,109.11,0.0662636
0.125232,109.203,0.092464
0.12525,109.215,0.012401
0.12525,109.215,1.2945e-06
0.125268,109.281,0.0662636
0.125268,109.281,8.63e-07
0.125304,109.414,0.132527
0.125304,109.414,8.63e-07
0.125339,109.546,0.132527
0.125339,109.546,8.63e-07
0.125393,109.745,0.198795
0.125393,109.745,8.63e-07
0.125446,109.944,0.198795
0.125482,109.959,0.015411
0.1255,109.972,0.012401
0.1255,109.972,1.2945e-06
0.125518,110.038,0.0662636
0.125518,110.038,8.63e-07
0.125571,110.237,0.198795
0.125571,110.237,8.63e-07
0.125625,110.436,0.198795
0.125732,110.482,0.0462322
0.12575,110.494,0.012401
0.12575,110.494,1.2945e-06
0.125768,110.561,0.0662636
0.125768,110.561,8.63e-07
0.125839,110.826,0.265062
0.125839,110.826,8.63e-07
0.125893,111.024,0.198795
0.125893,111.024,8.63e-07
0.125929,111.157,0.132527
0.125929,111.157,8.63e-07
0.125964,111.289,0.132527
0.125982,111.297,0.00770573
0.126,111.31,0.012401
0.126,111.31,1.2945e-06
0.126018,111.376,0.0662636
0.126018,111.376,8.63e-07
0.126036,111.442,0.0662599
0.126232,111.527,0.0847587
0.12625,111.539,0.012401
0.12625,111.539,1.2945e-06
0.126268,111.606,0.0662636
0.126268,111.606,8.63e-07
0.126321,111.804,0.198795
0.126321,111.804,8.63e-07
0.126375,112.003,0.198795
0.126375,112.003,8.63e-07
0.126411,112.136,0.132527
0.126411,112.136,8.63e-07
0.126446,112.268,0.132527
0.126482,112.284,0.015411
0.1265,112.296,0.012401
0.1265,112.296,1.2945e-06
0.126518,112.362,0.0662636
0.126732,112.455,0.092464
0.12675,112.467,0.012401
0.12675,112.467,1.2945e-06
0.126768,112.533,0.0662636
0.126768,112.533,8.63e-07
0.126786,112.6,0.0662599
0.126786,112.6,8.63e-07
0.126804,112.666,0.0662599
0.126804,112.666,8.63e-07
0.126839,112.798,0.132527
0.126839,112.798,8.63e-07
0.126875,112.931,0.132527
0.126875,112.931,8.63e-07
0.126911,113.064,0.132527
0.126911,113.064,8.63e-07
0.126964,113.262,0.198795
0.126982,113.27,0.00770573
0.127,113.282,0.012401
0.127,113.282,1.2945e-06
0.127018,113.349,0.0662636
0.127018,113.349,8.63e-07
0.127071,113.547,0.198795
0.127071,113.547,8.63e-07
0.127125,113.746,0.198795
0.127125,113.746,8.63e-07
0.127179,113.945,0.198795
0.127232,113.968,0.0231163
0.12725,113.981,0.012401
0.12725,113.981,1.2945e-06
0.127268,114.047,0.0662636
0.127268,114.047,8.63e-07
0.127339,114.312,0.265062
0.127339,114.312,8.63e-07
0.127393,114.511,0.198795
0.127393,114.511,8.63e-07
0.127429,114.643,0.132527
0.127429,114.643,8.63e-07
0.127464,114.776,0.132527
0.127482,114.783,0.00770573
0.1275,114.796,0.012401
0.1275,114.796,1.2945e-06
0.127518,114.862,0.0662636
0.127518,114.862,8.63e-07
